Tristeza;Alegria;Medo;Aversao;Raiva;Pontuacao;Resultado;Densidade semântica 1;Dificuldade 1;Densidade semântica 2;Dificuldade 2
0.083525;0.577833;0.033525;0.02625;0.0729;0.476333;0.65;1;2;2;2
;0.455;;;;0.455;0.8;5;4;5;4
0.01553;0.483204;;;;0.476487;0.545455;3;1;3;2
0.039;0.695979;0.0105;0.0105;0.04275;0.635896;0.75;3;2;3;3
0.018375;0.694819444444444;;0.018375;0.018375;0.684611111111111;0.9;4;3;3;3
0.0525;0.3821875;;;;0.3296875;0.45;2;3;3;2
0.048125;0.638166666666667;;0.0175;0.00875;0.581291666666667;0.75;4;3;2;2
0.105;0.331125;0.07875;0.07875;0.0525;0.225;0.2;2;4;2;4
;;;;;;;3;3;3;3
0.04765625;0.447125;;;;0.39890625;0.55;1;2;1;2
0.031;0.520875;0.023125;;0.013125;0.491625;0.7;1;3;3;3
0.0920833333333333;0.666104166666667;0.039375;0.02625;0.031875;0.5866875;0.7;2;3;3;3
0.07225;0.493197916666667;0.00725;0.00725;0.00725;0.435447916666667;0.6;5;3;4;3
;1;;;;1;1;2;3;4;4
0.11725;0.377291666666667;0.046875;0.03125;0.065625;0.255208333333333;0.4;1;2;2;1
0.0694416666666667;0.699975416666667;0.0116;0.05285;0.0116;0.62490875;0.75;3;3;3;3
0.0643125;0.665348958333333;0.0105;;0.0105;0.591411458333333;0.75;2;4;3;3
0.018375;0.694819444444444;;0.018375;0.018375;0.684611111111111;0.9;3;2;4;3
;0.581423295454546;;;;0.581423295454546;0.8;4;2;3;4
0.029;0.671666666666667;;;0.029;0.6475;1;2;3;2;2
0.0982375;0.526035227272727;0.0459125;0.062075;0.05791875;0.470047727272727;0.65;4;2;3;2
0.042;0.62215625;0.0315;0.021;;0.58015625;0.75;3;2;4;3
0.0694416666666667;0.699975416666667;0.0116;0.05285;0.0116;0.62490875;0.75;3;3;3;3
0.0311111111111111;0.511319444444444;;;;0.480208333333333;0.666666666666667;2;1;3;2
;0.304545454545455;;;;0.304545454545455;0.636363636363636;2;4;3;3
0.01;0.243496347402597;0.01;;;0.233496347402597;0.45;3;2;3;2
0.227211538461538;0.422596153846154;0.155096153846154;0.211057692307692;0.150480769230769;0.195384615384615;0.230769230769231;3;2;3;2
0.7875;;;;;-0.7875;-1;4;3;3;3
;0.722569444444444;;;;0.722569444444444;0.866666666666667;2;1;2;2
0.0854791666666666;0.79533253968254;0.0419761904761904;;0.0207142857142857;0.760886904761905;1;4;3;3;3
0.26125;0.650083333333333;;0.78375;0.78375;-0.133666666666666;;5;4;4;4
0.05253125;0.659309895833333;0.022390625;0.01528125;0.022390625;0.5959765625;0.7;2;2;3;3
0.02963;0.5231005;0.007125;;;0.5105125;0.75;2;2;3;2
0.0210526315789474;0.517982456140351;;;;0.528508771929824;0.684210526315789;1;2;3;3
0.0525;0.51125612745098;0.02625;0.013125;0.02625;0.44813112745098;0.55;4;3;3;2
;0.48125;;;;0.48125;1;4;4;3;3
;0.650416666666667;;;;0.650416666666667;0.8;3;4;3;2
